time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2021-01-01,350.41,352.94,332.35,341.34,844.4055,1344.0
00:00:00+00:00,2021-01-02,340.77,368.17,334.31,353.95,1943.11276,3008.0
00:00:00+00:00,2021-01-03,355.25,434.21,355.25,422.4,2974.95055,4915.0
00:00:00+00:00,2021-01-04,425.76,467.24,375.0,404.98,3264.40942,4269.0
00:00:00+00:00,2021-01-05,407.3,425.34,390.0,419.59,1849.52978,3557.0
00:00:00+00:00,2021-01-06,421.4,458.91,412.0,454.95,1539.05917,3039.0
00:00:00+00:00,2021-01-07,455.89,484.64,419.59,449.67,2705.06561,4348.0
00:00:00+00:00,2021-01-08,449.86,455.04,404.23,440.16,2413.66759,5180.0
00:00:00+00:00,2021-01-09,438.73,590.0,418.4,576.74,4884.25517,9654.0
00:00:00+00:00,2021-01-10,577.22,630.53,550.5,601.06,9657.73921,15369.0
00:00:00+00:00,2021-01-11,599.78,602.02,400.0,479.81,6871.37152,10934.0
00:00:00+00:00,2021-01-12,477.74,516.31,442.0,451.93,3466.03146,7786.0
00:00:00+00:00,2021-01-13,451.45,500.57,435.0,495.4,2136.10108,4464.0
00:00:00+00:00,2021-01-14,495.71,538.85,484.16,526.06,2426.39805,4698.0
00:00:00+00:00,2021-01-15,527.5,535.22,453.01,491.87,2072.70342,4773.0
00:00:00+00:00,2021-01-16,490.5,515.82,475.0,489.98,1974.05015,4859.0
00:00:00+00:00,2021-01-17,489.95,495.37,462.21,478.78,1448.85922,2562.0
00:00:00+00:00,2021-01-18,478.79,514.53,469.89,508.85,2956.01264,6208.0
00:00:00+00:00,2021-01-19,509.29,553.91,502.96,508.87,3056.53291,5737.0
00:00:00+00:00,2021-01-20,506.43,517.86,470.0,497.75,1933.01033,4039.0
00:00:00+00:00,2021-01-21,497.75,497.82,405.12,418.88,3146.28621,4725.0
00:00:00+00:00,2021-01-22,417.85,450.94,390.03,441.03,2479.94454,4331.0
00:00:00+00:00,2021-01-23,440.23,444.04,420.0,430.83,1634.98443,3066.0
00:00:00+00:00,2021-01-24,431.86,449.15,421.88,440.88,1469.07718,3127.0
00:00:00+00:00,2021-01-25,440.42,465.39,431.07,433.65,2225.53304,3166.0
00:00:00+00:00,2021-01-26,431.83,438.37,413.49,427.1,1300.96014,2478.0
00:00:00+00:00,2021-01-27,428.31,428.31,369.75,378.44,5114.9508,5389.0
00:00:00+00:00,2021-01-28,377.48,415.0,371.37,405.7,1777.53393,3946.0
00:00:00+00:00,2021-01-29,405.7,435.43,391.59,407.52,4678.72988,7375.0
00:00:00+00:00,2021-01-30,409.03,419.63,392.01,416.94,2104.94342,2916.0
00:00:00+00:00,2021-01-31,417.0,417.0,390.0,399.68,2357.25605,2887.0
00:00:00+00:00,2021-02-01,399.34,444.61,390.21,414.85,2217.24651,2829.0
00:00:00+00:00,2021-02-02,414.33,435.39,411.65,431.29,1901.01335,3355.0
00:00:00+00:00,2021-02-03,431.33,450.0,429.23,446.48,1616.62026,2987.0
00:00:00+00:00,2021-02-04,447.38,455.68,413.69,421.86,3132.09034,7498.0
00:00:00+00:00,2021-02-05,421.68,449.0,418.21,447.83,2428.03792,5026.0
00:00:00+00:00,2021-02-06,448.1,490.01,441.15,458.49,6114.67922,8965.0
00:00:00+00:00,2021-02-07,457.27,464.33,430.0,445.92,2543.69549,4198.0
