time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2022-01-14,25.25,25.91,23.97,25.78,3266.92,167.0
00:00:00+00:00,2022-01-15,25.74,26.21,25.15,25.21,2856.73,175.0
00:00:00+00:00,2022-01-16,25.12,26.34,24.68,25.56,3155.3,199.0
00:00:00+00:00,2022-01-17,25.52,25.55,23.33,23.78,7032.92,295.0
00:00:00+00:00,2022-01-18,23.79,24.34,22.0,22.93,6393.95,304.0
00:00:00+00:00,2022-01-19,22.93,23.13,21.28,21.71,9229.1,293.0
00:00:00+00:00,2022-01-20,21.52,22.95,20.02,20.18,8441.9,265.0
00:00:00+00:00,2022-01-21,20.17,20.44,17.12,17.25,25204.05,779.0
00:00:00+00:00,2022-01-22,17.54,17.8,14.28,15.78,84498.02,1715.0
00:00:00+00:00,2022-01-23,15.82,16.85,15.19,16.58,14248.67,362.0
00:00:00+00:00,2022-01-24,16.49,16.49,13.5,15.63,30388.44,772.0
00:00:00+00:00,2022-01-25,15.57,16.0,14.57,15.46,56751.68,915.0
00:00:00+00:00,2022-01-26,15.35,16.72,14.72,15.24,20762.07,501.0
00:00:00+00:00,2022-01-27,15.28,15.69,14.41,15.24,9551.64,372.0
00:00:00+00:00,2022-01-28,15.24,16.27,14.74,16.14,3583.41,321.0
00:00:00+00:00,2022-01-29,16.14,16.66,15.96,16.18,9644.45,258.0
00:00:00+00:00,2022-01-30,16.3,18.1,16.0,17.74,15141.56,548.0
00:00:00+00:00,2022-01-31,17.82,17.86,16.47,17.27,7789.38,383.0
00:00:00+00:00,2022-02-01,17.08,17.89,16.84,17.03,5906.68,466.0
00:00:00+00:00,2022-02-02,17.01,17.36,15.57,15.78,7063.47,393.0
00:00:00+00:00,2022-02-03,15.78,16.28,15.33,16.28,3490.85,341.0
00:00:00+00:00,2022-02-04,16.18,17.57,16.03,17.39,4034.34,348.0
00:00:00+00:00,2022-02-05,17.54,18.31,17.45,17.74,4883.72,322.0
00:00:00+00:00,2022-02-06,17.87,18.18,17.2,17.99,3628.47,275.0
00:00:00+00:00,2022-02-07,18.08,19.47,17.67,18.8,9608.91,618.0
00:00:00+00:00,2022-02-08,18.89,19.54,17.74,18.45,54426.73,902.0
00:00:00+00:00,2022-02-09,18.42,18.74,17.76,18.65,4842.35,209.0
00:00:00+00:00,2022-02-10,18.53,18.7,17.39,17.39,15999.63,479.0
00:00:00+00:00,2022-02-11,17.4,17.79,15.96,16.07,28866.59,437.0
00:00:00+00:00,2022-02-12,16.08,16.39,15.57,15.93,4115.85,226.0
00:00:00+00:00,2022-02-13,16.04,16.32,15.55,15.68,1390.47,110.0
00:00:00+00:00,2022-02-14,15.6,16.12,15.23,15.99,3894.8,166.0
00:00:00+00:00,2022-02-15,15.93,17.44,15.85,17.32,36549.42,677.0
00:00:00+00:00,2022-02-16,17.27,17.34,16.22,17.14,75255.81,845.0
00:00:00+00:00,2022-02-17,17.18,17.46,15.51,15.56,4783.91,310.0
00:00:00+00:00,2022-02-18,15.51,16.07,15.03,15.21,20892.75,310.0
00:00:00+00:00,2022-02-19,15.29,15.65,14.84,15.57,34201.34,212.0
00:00:00+00:00,2022-02-20,15.5,15.51,14.4,14.62,35511.76,291.0
00:00:00+00:00,2022-02-21,14.55,15.3,13.4,13.47,34955.36,518.0
00:00:00+00:00,2022-02-22,13.59,14.21,13.04,13.99,25963.74,313.0
00:00:00+00:00,2022-02-23,14.0,14.66,13.33,13.33,12943.24,308.0
00:00:00+00:00,2022-02-24,13.27,13.94,11.4,13.15,47902.51,875.0
00:00:00+00:00,2022-02-25,13.27,14.48,13.09,14.3,16320.18,339.0
00:00:00+00:00,2022-02-26,14.32,15.02,14.11,14.73,14497.45,474.0
00:00:00+00:00,2022-02-27,14.62,14.84,13.5,13.64,28796.32,634.0
00:00:00+00:00,2022-02-28,13.66,15.15,13.35,15.15,36414.43,605.0
00:00:00+00:00,2022-03-01,15.19,15.73,14.74,15.33,21697.24,546.0
00:00:00+00:00,2022-03-02,15.26,15.85,14.91,15.26,29316.43,736.0
00:00:00+00:00,2022-03-03,15.18,15.38,14.47,14.88,6956.93,306.0
00:00:00+00:00,2022-03-04,14.96,14.96,13.57,13.68,9355.62,366.0
00:00:00+00:00,2022-03-05,13.64,14.26,13.46,14.06,1705.72,144.0
00:00:00+00:00,2022-03-06,14.07,14.11,13.27,13.27,6349.41,202.0
00:00:00+00:00,2022-03-07,13.26,13.65,12.43,12.73,48788.45,750.0
00:00:00+00:00,2022-03-08,12.63,13.54,12.63,13.08,26943.1,437.0
00:00:00+00:00,2022-03-09,13.1,14.46,13.05,14.03,56233.1,733.0
00:00:00+00:00,2022-03-10,13.94,14.11,13.01,13.25,15984.11,348.0
00:00:00+00:00,2022-03-11,13.14,13.64,12.82,13.05,10835.32,295.0
00:00:00+00:00,2022-03-12,13.14,13.46,13.12,13.14,6669.51,190.0
00:00:00+00:00,2022-03-13,13.12,13.43,12.58,12.75,18579.57,289.0
00:00:00+00:00,2022-03-14,12.67,13.42,12.61,13.42,26776.88,321.0
00:00:00+00:00,2022-03-15,13.45,13.77,12.88,13.71,11825.5,273.0
00:00:00+00:00,2022-03-16,13.77,14.77,13.66,14.7,33398.87,668.0
00:00:00+00:00,2022-03-17,14.65,14.91,14.24,14.43,49862.68,794.0
00:00:00+00:00,2022-03-18,14.36,15.26,14.13,15.05,21065.85,489.0
00:00:00+00:00,2022-03-19,15.05,15.4,14.85,15.0,14366.64,353.0
00:00:00+00:00,2022-03-20,15.0,15.11,14.47,14.55,8333.94,216.0
00:00:00+00:00,2022-03-21,14.61,15.26,14.31,15.04,6217.91,230.0
00:00:00+00:00,2022-03-22,15.05,15.84,15.0,15.43,29147.87,500.0
00:00:00+00:00,2022-03-23,15.49,15.95,15.13,15.82,13787.25,347.0
00:00:00+00:00,2022-03-24,15.85,16.4,15.62,16.21,22393.05,618.0
00:00:00+00:00,2022-03-25,16.1,16.45,15.47,15.57,24817.22,455.0
00:00:00+00:00,2022-03-26,15.62,15.91,15.51,15.88,8953.49,196.0
00:00:00+00:00,2022-03-27,15.87,16.89,15.64,16.83,26405.6,561.0
00:00:00+00:00,2022-03-28,16.87,17.36,16.31,16.48,27497.57,682.0
00:00:00+00:00,2022-03-29,16.47,17.51,16.47,17.0,21003.05,542.0
00:00:00+00:00,2022-03-30,16.94,17.58,16.54,17.18,14313.26,585.0
00:00:00+00:00,2022-03-31,17.22,18.05,16.67,16.93,16638.11,594.0
00:00:00+00:00,2022-04-01,17.0,17.37,16.18,17.36,12038.37,360.0
00:00:00+00:00,2022-04-02,17.28,17.85,17.11,17.38,14760.74,553.0
00:00:00+00:00,2022-04-03,17.41,18.32,17.17,18.14,12100.05,550.0
00:00:00+00:00,2022-04-04,18.02,18.03,16.84,17.52,7715.88,369.0
00:00:00+00:00,2022-04-05,17.57,17.65,16.67,16.73,8078.17,306.0
00:00:00+00:00,2022-04-06,16.7,16.75,15.3,15.37,12052.32,508.0
00:00:00+00:00,2022-04-07,15.46,15.87,15.12,15.76,5168.83,249.0
00:00:00+00:00,2022-04-08,15.69,15.9,15.07,15.07,2471.87,185.0
00:00:00+00:00,2022-04-09,15.17,15.48,15.14,15.43,3335.51,140.0
00:00:00+00:00,2022-04-10,15.46,15.91,15.18,15.18,4783.66,157.0
00:00:00+00:00,2022-04-11,15.2,15.21,13.53,13.71,13197.03,395.0
00:00:00+00:00,2022-04-12,13.81,14.32,13.64,13.94,18260.52,293.0
00:00:00+00:00,2022-04-13,14.01,14.22,13.7,14.19,2951.77,186.0
00:00:00+00:00,2022-04-14,14.18,14.33,13.33,13.63,12668.07,338.0
00:00:00+00:00,2022-04-15,13.69,14.19,13.64,14.12,13156.28,379.0
00:00:00+00:00,2022-04-16,14.09,14.26,13.84,14.19,5770.53,215.0
00:00:00+00:00,2022-04-17,14.12,14.63,13.65,13.77,13906.3,403.0
00:00:00+00:00,2022-04-18,13.7,14.05,13.15,14.02,34536.09,517.0
00:00:00+00:00,2022-04-19,14.07,14.4,13.83,14.26,8648.78,280.0
00:00:00+00:00,2022-04-20,14.26,14.49,13.71,14.05,13163.5,402.0
00:00:00+00:00,2022-04-21,14.07,14.36,13.38,13.57,8443.43,357.0
00:00:00+00:00,2022-04-22,13.56,13.87,13.48,13.57,5235.66,266.0
00:00:00+00:00,2022-04-23,13.56,13.67,13.21,13.36,5229.74,182.0
00:00:00+00:00,2022-04-24,13.36,13.63,13.23,13.26,32028.55,538.0
00:00:00+00:00,2022-04-25,13.24,13.51,12.54,13.46,51572.95,958.0
00:00:00+00:00,2022-04-26,13.4,13.49,12.15,12.38,15259.35,393.0
00:00:00+00:00,2022-04-27,12.4,12.79,12.32,12.76,13911.64,332.0
00:00:00+00:00,2022-04-28,12.71,12.97,12.4,12.65,25411.02,365.0
00:00:00+00:00,2022-04-29,12.66,12.73,11.84,11.96,14523.73,406.0
00:00:00+00:00,2022-04-30,11.99,12.23,10.66,10.98,18941.18,506.0
00:00:00+00:00,2022-05-01,10.97,11.46,10.87,11.29,6366.31,277.0
00:00:00+00:00,2022-05-02,11.32,11.44,10.77,11.13,20362.64,421.0
00:00:00+00:00,2022-05-03,11.1,11.5,10.81,11.11,4994.54,184.0
00:00:00+00:00,2022-05-04,11.1,12.19,11.1,12.19,9888.35,312.0
00:00:00+00:00,2022-05-05,12.22,12.28,10.64,10.9,20252.21,541.0
00:00:00+00:00,2022-05-06,10.84,10.99,10.38,10.77,16735.37,441.0
00:00:00+00:00,2022-05-07,10.77,10.85,10.0,10.24,4474.1,238.0
00:00:00+00:00,2022-05-08,10.24,10.37,9.84,9.96,13301.84,431.0
00:00:00+00:00,2022-05-09,9.98,10.14,8.02,8.08,33693.28,1099.0
00:00:00+00:00,2022-05-10,8.11,9.32,7.91,8.59,27433.41,1073.0
00:00:00+00:00,2022-05-11,8.59,8.85,6.54,6.92,139453.19,2882.0
00:00:00+00:00,2022-05-12,6.97,7.43,5.6,6.63,43961.85,1361.0
00:00:00+00:00,2022-05-13,6.59,7.7,6.54,7.13,16706.34,400.0
00:00:00+00:00,2022-05-14,7.12,7.42,6.66,7.26,7530.1,220.0
00:00:00+00:00,2022-05-15,7.31,7.98,7.01,7.98,4438.66,246.0
00:00:00+00:00,2022-05-16,7.98,7.98,7.18,7.43,5305.24,169.0
00:00:00+00:00,2022-05-17,7.55,7.99,7.31,7.71,7505.51,176.0
00:00:00+00:00,2022-05-18,7.76,7.76,6.77,6.77,4119.18,166.0
00:00:00+00:00,2022-05-19,6.8,7.24,6.66,7.22,5601.14,185.0
00:00:00+00:00,2022-05-20,7.14,7.36,6.76,6.88,4827.64,212.0
00:00:00+00:00,2022-05-21,6.88,7.1,6.8,7.08,2398.13,122.0
00:00:00+00:00,2022-05-22,7.07,7.4,6.93,7.39,6986.25,271.0
00:00:00+00:00,2022-05-23,7.33,7.67,6.99,7.05,8705.6,441.0
00:00:00+00:00,2022-05-24,7.04,7.29,6.72,7.22,12318.24,339.0
00:00:00+00:00,2022-05-25,7.22,7.39,6.95,6.95,10209.19,292.0
00:00:00+00:00,2022-05-26,6.95,7.08,6.23,6.57,15316.69,463.0
00:00:00+00:00,2022-05-27,6.57,6.68,6.21,6.28,6760.7,314.0
00:00:00+00:00,2022-05-28,6.3,6.65,6.22,6.58,19267.32,413.0
00:00:00+00:00,2022-05-29,6.56,6.74,6.35,6.72,4813.33,209.0
00:00:00+00:00,2022-05-30,6.72,7.51,6.65,7.47,18679.47,584.0
00:00:00+00:00,2022-05-31,7.47,7.72,7.19,7.58,8595.47,453.0
00:00:00+00:00,2022-06-01,7.58,7.75,6.77,6.92,10004.91,463.0
00:00:00+00:00,2022-06-02,6.95,7.24,6.84,7.24,5025.83,268.0
00:00:00+00:00,2022-06-03,7.21,7.21,6.71,6.86,2429.58,178.0
00:00:00+00:00,2022-06-04,6.84,7.44,6.71,7.4,5439.82,290.0
00:00:00+00:00,2022-06-05,7.42,7.87,7.26,7.65,19990.27,435.0
00:00:00+00:00,2022-06-06,7.65,8.18,7.63,7.97,8629.84,416.0
00:00:00+00:00,2022-06-07,7.96,8.99,7.33,8.75,263514.53,3889.0
00:00:00+00:00,2022-06-08,8.73,8.99,8.24,8.69,30258.92,2032.0
00:00:00+00:00,2022-06-09,8.74,9.63,8.49,9.29,23401.18,1617.0
00:00:00+00:00,2022-06-10,9.27,9.52,8.01,8.03,20900.35,802.0
00:00:00+00:00,2022-06-11,8.04,8.39,6.95,7.02,43493.76,1066.0
00:00:00+00:00,2022-06-12,7.05,7.13,6.28,6.28,36375.69,831.0
00:00:00+00:00,2022-06-13,6.24,6.3,5.33,5.92,48377.35,1180.0
00:00:00+00:00,2022-06-14,5.91,6.85,5.4,6.72,123305.17,3104.0
00:00:00+00:00,2022-06-15,6.74,7.36,5.84,7.34,115718.56,4862.0
00:00:00+00:00,2022-06-16,7.38,7.5,1.35,6.3,98581.54,1639.0
00:00:00+00:00,2022-06-17,6.36,6.71,6.27,6.33,58255.27,882.0
00:00:00+00:00,2022-06-18,6.34,6.44,5.43,5.94,58395.03,604.0
00:00:00+00:00,2022-06-19,5.98,6.81,5.84,6.56,19442.33,752.0
00:00:00+00:00,2022-06-20,6.61,7.28,6.31,7.01,46675.24,729.0
00:00:00+00:00,2022-06-21,6.98,7.56,6.77,6.87,51085.38,784.0
00:00:00+00:00,2022-06-22,6.81,7.02,6.46,6.62,32215.36,625.0
00:00:00+00:00,2022-06-23,6.64,7.08,6.64,7.02,14712.89,499.0
00:00:00+00:00,2022-06-24,7.05,7.43,6.96,7.26,43656.66,562.0
00:00:00+00:00,2022-06-25,7.24,7.38,6.81,7.3,10153.4,376.0
00:00:00+00:00,2022-06-26,7.26,7.48,6.7,6.7,31384.59,528.0
00:00:00+00:00,2022-06-27,6.69,6.98,6.42,6.55,5619.45,287.0
00:00:00+00:00,2022-06-28,6.58,7.24,6.29,6.32,18040.99,594.0
00:00:00+00:00,2022-06-29,6.32,6.48,6.15,6.24,9549.16,329.0
00:00:00+00:00,2022-06-30,6.25,6.33,5.89,6.27,7878.66,297.0
00:00:00+00:00,2022-07-01,6.23,6.43,5.94,6.04,10458.02,248.0
00:00:00+00:00,2022-07-02,6.03,6.27,5.98,6.22,3239.51,131.0
00:00:00+00:00,2022-07-03,6.17,6.23,6.03,6.21,2818.99,138.0
00:00:00+00:00,2022-07-04,6.21,6.46,6.02,6.46,7499.91,258.0
00:00:00+00:00,2022-07-05,6.42,6.55,6.06,6.33,16444.0,264.0
00:00:00+00:00,2022-07-06,6.37,6.41,6.19,6.33,11694.69,197.0
00:00:00+00:00,2022-07-07,6.35,6.75,6.33,6.64,7871.62,255.0
00:00:00+00:00,2022-07-08,6.64,6.83,6.34,6.34,7284.99,310.0
00:00:00+00:00,2022-07-09,6.39,6.58,6.35,6.51,2886.06,124.0
00:00:00+00:00,2022-07-10,6.48,6.48,6.12,6.2,8109.74,258.0
00:00:00+00:00,2022-07-11,6.16,6.43,5.97,6.05,18390.44,313.0
00:00:00+00:00,2022-07-12,6.01,6.24,5.94,5.94,5254.89,165.0
00:00:00+00:00,2022-07-13,5.96,6.19,5.71,6.19,43408.31,456.0
00:00:00+00:00,2022-07-14,6.2,6.38,6.01,6.26,21579.05,301.0
